subject_id,condition,key_sentence,resp_sentence,total_cont_words,sub_cont,DNH_incorrect,add_func,distractor_words,perfect,omit_cont,morph,sub_func,omit_func,DNH_nothing,add_cont,total_errors
10138,1T_tr,the new road is on the map ,_ _ _ _ _ _ _ ,0,0,0,0,0,0,0,0,0,0,1,0,-1
10138,1T_tr,she found her purse ,she found her purse ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,1T,_ _ a man is turning the faucet ,the bird build nests in _ trees _ ,4,0,1,0,3,0,0,0,0,0,0,0,-1
10138,1T_tr,the girl has a picture book ,the girl has _ _ _ ,0,0,0,0,0,0,2,0,0,1,0,0,3
10138,SSN,the kitchen clock was wrong ,_ kitchen _ _ _ ,0,0,0,0,0,0,3,0,0,1,0,0,4
10138,SSN,the chicken laid some eggs ,the chicken lays _ eggs ,0,0,0,0,0,0,0,1,0,1,0,0,2
10138,1T,the train stops at the station ,the train stops at the station ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,SSN,the mailman brought a letter ,the mailman brought a package ,0,1,0,0,0,0,0,0,0,0,0,0,1
10138,1T_tr,the dog came back ,the dog _ _ ,0,0,0,0,0,0,2,0,0,0,0,0,2
10138,1T_tr,the bus left early ,the bus left early ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,1T,_ the driver started the engine ,breakfast he _ drinks orange juice ,4,0,1,0,3,0,0,0,0,0,0,0,-1
10138,1T,the daughter set the table ,_ _ _ the coach ,1,0,1,0,1,0,0,0,0,0,0,0,-1
10138,SSN,the milk was by the front door ,the milk was by the front door ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,SSN,they followed the path ,they followed the path ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,1T_tr,they washed in cold water ,_ wash in cold water ,0,0,0,0,0,0,0,1,0,1,0,0,2
10138,SSN,the ground was very hard ,the ground is very hard ,0,0,0,0,0,0,0,1,0,0,0,0,1
10138,SSN,the dog jumped on the chair ,the dog jumped on a chair ,0,0,0,0,0,0,0,0,1,0,0,0,1
10138,1T,the raincoat is hanging up ,my parents sister and i ,3,0,1,0,3,0,0,0,0,0,0,0,-1
10138,SSN,they are riding their bicycles ,they are riding _ bicycles ,0,0,0,0,0,0,0,0,0,1,0,0,1
10138,1T_tr,the floor looked clean ,_ _ _ option ,0,0,1,0,0,0,0,0,0,0,0,0,-1
10138,SSN,the janitor used a broom ,the janitor used a broom ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,1T_tr,the fruit is on the ground ,the fruit is on the ground ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,1T,some nice people are coming ,some _ people are coming ,0,0,0,0,0,0,1,0,0,0,0,0,1
10138,1T_tr,the ball is bouncing very high ,the ball was bouncing very high ,0,0,0,0,0,0,0,1,0,0,0,0,1
10138,1T_tr,father forgot the bread ,father forgot the bread ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,1T,the football hit the goalpost ,the football hit the goldpost ,0,1,0,0,0,0,0,0,0,0,0,0,1
10138,1T_tr,they had two empty bottles ,they had two empty box ,0,1,0,0,0,0,0,0,0,0,0,0,1
10138,1T,they walked across the grass ,_ _ _ the team ,1,0,1,0,1,0,0,0,0,0,0,0,-1
10138,SSN,the buckets hold water ,the buckets hold water ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,1T,they met some friends ,elephants are big animals ,4,0,1,0,4,0,0,0,0,0,0,0,-1
10138,1T,she bumped her head ,she bumped her head ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,SSN,someone is crossing the road ,someone is crossing the road ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,SSN,the shirts are hanging in the closet ,the shirts are hanging in the closet ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,SSN,a dish towel is by the sink ,the dish towel is by the sink ,0,0,0,0,0,0,0,0,1,0,0,0,1
10138,SSN,the good boy is helping ,the good boy is always ,0,1,0,0,0,0,0,0,0,0,0,0,1
10138,1T,he is sucking his thumb ,he is sucking his thumb ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,1T,the boy _ hurried to school ,the boys are going to school ,0,1,0,0,0,0,0,1,0,0,0,1,3
10138,1T,_ the tiny baby was pretty ,of the _ _ _ clock ,1,0,1,0,1,0,0,0,0,0,0,0,-1
10138,1T_tr,the young people are dancing ,_ _ _ _ _ ,0,0,0,0,0,0,0,0,0,0,1,0,-1
10138,1T_tr,the children dropped the bag ,the children _ _ _ ,0,0,0,0,0,0,2,0,0,1,0,0,3
10138,1T_tr,the orange was very sweet ,the orange is very sweet ,0,0,0,0,0,0,0,1,0,0,0,0,1
10138,1T,the oven is _ too hot ,for dessert we had apple pie ,4,0,1,0,4,0,0,0,0,0,0,0,-1
10138,SSN,he broke his leg ,he broke his leg ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,SSN,they sat on a wooden bench ,he sat on _ the edge ,0,1,0,1,0,0,1,0,1,1,0,0,5
10138,1T_tr,mother got a saucepan ,mother got a saucepan ,0,0,0,0,0,1,0,0,0,0,0,0,0
10138,1T,mother tied the string ,elephants are big animals ,4,0,1,0,4,0,0,0,0,0,0,0,-1
10138,1T,the puppy plays with a ball ,_ _ _ _ 25 _ ,1,0,1,0,0,0,0,0,0,0,0,0,-1
10138,1T_tr,he is holding his nose ,he is holding his nose ,0,0,0,0,0,1,0,0,0,0,0,0,0
